date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:05	719/719	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22583-5865e70ae1dfb%22	https://arsem.com.ar/robots.txt		(from )
10:14:06	22573/22573	---M-Z	200	added ('OK')	text/html	etag:%22582d-58c9fb1a83092-gzip%22	https://arsem.com.ar/	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/index.html	(from )
10:14:06	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-52ad39b171300%22	https://arsem.com.ar/images/favicon.ico	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/favicon.ico	(from https://arsem.com.ar/)
10:14:07	121259/121259	---M-Z	200	added ('OK')	text/css	etag:%221d9ab-5386bfe338a40-gzip%22	https://arsem.com.ar/css/bootstrap.min.css	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/css/bootstrap.min.css	(from https://arsem.com.ar/)
10:14:08	7351/7351	---M-Z	200	added ('OK')	text/css	etag:%221cb7-5386bfe1505c0-gzip%22	https://arsem.com.ar/css/arsem.css	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/css/arsem.css	(from https://arsem.com.ar/)
10:14:09	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	/home/sj/Desktop/sanjoseconsultora/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://arsem.com.ar/)
10:14:10	21997/21997	---M-Z	200	added ('OK')	text/css	etag:%2255ed-52ad39f61b500-gzip%22	https://arsem.com.ar/font-awesome/css/font-awesome.min.css	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/font-awesome/css/font-awesome.min.css	(from https://arsem.com.ar/)
10:14:12	972/972	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202020%2013:14:11%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700	/home/sj/Desktop/sanjoseconsultora/fonts.googleapis.com/css13b7.css	(from https://arsem.com.ar/)
10:14:12	22573/22573	---M-Z	200	added ('OK')	text/html	etag:%22582d-58c9fb1a83092-gzip%22	https://arsem.com.ar/index.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/index-2.html	(from https://arsem.com.ar/)
10:14:13	0/0	---M--	302	error ('Moved%20Temporarily')	application/octet-stream	etag:%225e290c49-0%22	http://v2.zopim.com/?41tOTdtUsOX5godNwSZFvbLb351e609e	/home/sj/Desktop/sanjoseconsultora/v2.zopim.com/index656a.html	(from https://arsem.com.ar/)
10:14:13	10168/10168	---M--	200	added ('OK')	image/png	etag:%2227b8-57701ba310280%22	https://arsem.com.ar/images/logo-arsem.png	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/logo-arsem.png	(from https://arsem.com.ar/)
10:14:14	14055/14055	---M-Z	200	added ('OK')	text/html	etag:%2236e7-57702027debc0-gzip%22	https://arsem.com.ar/higiene-y-seguridad.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/higiene-y-seguridad.html	(from https://arsem.com.ar/)
10:14:15	12946/12946	---M-Z	200	added ('OK')	text/html	etag:%223292-5386c38231540-gzip%22	https://arsem.com.ar/seguridad-en-la-construccion.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/seguridad-en-la-construccion.html	(from https://arsem.com.ar/)
